brand,brand_url,model,repair_type,price,timestamp,repair_type_matched
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Diagnostique,19.9,2026-04-05T12:09:12+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Désoxydation Galaxy A8 2018,79.9,2026-04-05T12:09:12+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Mise à jour logiciel Lumia 535,39.9,2026-04-05T12:09:12+00:00,False
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Module Afficheur,109.9,2026-04-05T12:09:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Batterie,69.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Carte Secondaire,79.9,2026-04-05T12:09:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Ecouteur,39.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Appareil photo avant,49.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Bouton volume,79.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Bouton ON/OFF,79.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Haut parleur,59.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Appareil photo arrière,99.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Vibreur,49.9,2026-04-05T12:09:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Diagnostique,19.9,2026-04-05T12:09:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,IPHONE 11 PRO MAX,Désoxydation Galaxy A8 2018,79.9,2026-04-05T12:09:27+00:00,False
