brand,brand_url,model,repair_type,repair_name,price,repair_name_clean
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Vibreur-10%,35.91,vibreur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,44.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,44.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Façade avant-10%,44.91,faade avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,44.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,71.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,71.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Batterie-10%,71.91,batterie10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,71.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Antenne réseau-10%,35.91,antenne rseau10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Appareil photo arrière-10%,35.91,appareil photo arrire10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,26.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,26.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Bouton ON/OFF-10%,26.91,bouton onoff10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,26.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Connecteur de charge-10%,35.91,connecteur de charge10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,44.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,44.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Ecouteur-10%,44.91,ecouteur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,44.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Façade arrière-10%,35.91,faade arrire10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.1,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.1,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Haut parleur-10%,35.1,haut parleur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,35.1,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur-10%,35.91,vibreur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Vibreur,Vibreur,35.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,44.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,Vibreur,Vibreur,44.91,vibreur
Xiaomi,www.phoneandcbd.com,xiaomi,other,Façade avant-10%,44.91,faade avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-9-c-marseille,xiaomi,other,other,44.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Façade avant-10%,71.91,faade avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-10-marseille,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Façade avant-10%,71.91,faade avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-10-a-marseille,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Façade avant-10%,71.91,faade avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-10-2022-marseille,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Façade avant-10%,71.91,faade avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-10-c-marseille,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,71.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie-10%,71.91,batterie10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Batterie,Batterie,71.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Appareil photo avant-10%,35.91,appareil photo avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Ecouteur-10%,35.91,ecouteur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Façade arrière-10%,35.91,faade arrire10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,44.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,44.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Lentille Appareil Photo-10%,44.91,lentille appareil photo10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Batterie,Batterie,44.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Batterie,Batterie,35.91,batterie
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Batterie-10%,35.91,batterie10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant-10%,35.91,appareil photo avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Ecouteur-10%,35.91,ecouteur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Façade arrière-10%,35.91,faade arrire10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,44.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,44.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Lentille Appareil Photo-10%,44.91,lentille appareil photo10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Appareil photo avant,Appareil photo avant,44.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,Appareil photo avant,Appareil photo avant,35.91,appareil photo avant
Xiaomi,www.phoneandcbd.com,xiaomi,other,Batterie-10%,35.91,batterie10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
