brand,brand_url,model,repair_type,price,source,part_name,date_Of_Scrapping
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,vibreur,35.91,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,50.32,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,50.32,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,50.32,www.phoneandcbd.com,Ecran LCD-14%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,faã§ade avant,50.32,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,60.11,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,60.11,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,60.11,www.phoneandcbd.com,Batterie-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,faã§ade avant,60.11,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,34.74,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,34.74,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,34.74,www.phoneandcbd.com,Vibreur-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,faã§ade avant,34.74,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,35.91,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,35.91,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,35.91,www.phoneandcbd.com,Vitre tactile-16%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,faã§ade avant,35.91,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,50.32,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,faã§ade avant,50.32,www.phoneandcbd.com,FaÃ§ade avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,50.32,www.phoneandcbd.com,Façade avant-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,other,50.32,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,89.91,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,89.91,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,89.91,www.phoneandcbd.com,Batterie-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,other,89.91,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,Connecteur de charge-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,Haut parleur-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,34.74,www.phoneandcbd.com,Façade avant-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,batterie,34.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,89.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,89.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,89.91,www.phoneandcbd.com,Batterie-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,batterie,89.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Connecteur de charge-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Haut parleur-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-5-marseille,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,34.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,34.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,Façade avant-7%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-6-pro-marseille,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,120.81,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,120.81,www.phoneandcbd.com,other,05-04-2026
