brand,brand_url,model,repair_type,price,date_Of_Scrapping,repair_type_matched
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,vibreur,49.9,2026-04-05T12:09:27+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,diagnostique,19.9,2026-04-05T12:09:27+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,désoxydation galaxy a8 2018,79.9,2026-04-05T12:09:27+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,mise à jour logiciel lumia 535,39.9,2026-04-05T12:09:27+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,module afficheur,109.9,2026-04-05T12:10:16+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,batterie,69.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,connecteur de charge,119.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,ecouteur,39.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,appareil photo avant,49.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,bouton volume,79.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,bouton on/off,79.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,haut parleur,39.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,appareil photo arrière,99.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,vibreur,49.9,2026-04-05T12:10:16+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,diagnostique,19.9,2026-04-05T12:10:16+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,désoxydation galaxy a8 2018,79.9,2026-04-05T12:10:16+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro?shop=DT060,iphone 11 pro,mise à jour logiciel lumia 535,39.9,2026-04-05T12:10:16+00:00,False
